Time resolution is 1 ps
Time	 a	 b	 |	equal	greator	less
                   0	 0000	 0000	 |	1	0	0
                5000	 0000	 0001	 |	0	0	1
               10000	 0000	 0010	 |	0	0	1
               15000	 0000	 0011	 |	0	0	1
               20000	 0000	 0100	 |	0	0	1
               25000	 0000	 0101	 |	0	0	1
               30000	 0000	 0110	 |	0	0	1
               35000	 0000	 0111	 |	0	0	1
               40000	 0000	 1000	 |	0	0	1
               45000	 0000	 1001	 |	0	0	1
               50000	 0000	 1010	 |	0	0	1
               55000	 0000	 1011	 |	0	0	1
               60000	 0000	 1100	 |	0	0	1
               65000	 0000	 1101	 |	0	0	1
               70000	 0000	 1110	 |	0	0	1
               75000	 0000	 1111	 |	0	0	1
               80000	 0001	 0000	 |	0	1	0
               85000	 0001	 0001	 |	1	0	0
               90000	 0001	 0010	 |	0	0	1
               95000	 0001	 0011	 |	0	0	1
              100000	 0001	 0100	 |	0	0	1
              105000	 0001	 0101	 |	0	0	1
              110000	 0001	 0110	 |	0	0	1
              115000	 0001	 0111	 |	0	0	1
              120000	 0001	 1000	 |	0	0	1
              125000	 0001	 1001	 |	0	0	1
              130000	 0001	 1010	 |	0	0	1
              135000	 0001	 1011	 |	0	0	1
              140000	 0001	 1100	 |	0	0	1
              145000	 0001	 1101	 |	0	0	1
              150000	 0001	 1110	 |	0	0	1
              155000	 0001	 1111	 |	0	0	1
              160000	 0010	 0000	 |	0	1	0
              165000	 0010	 0001	 |	0	1	0
              170000	 0010	 0010	 |	1	0	0
              175000	 0010	 0011	 |	0	0	1
              180000	 0010	 0100	 |	0	0	1
              185000	 0010	 0101	 |	0	0	1
              190000	 0010	 0110	 |	0	0	1
              195000	 0010	 0111	 |	0	0	1
              200000	 0010	 1000	 |	0	0	1
              205000	 0010	 1001	 |	0	0	1
              210000	 0010	 1010	 |	0	0	1
              215000	 0010	 1011	 |	0	0	1
              220000	 0010	 1100	 |	0	0	1
              225000	 0010	 1101	 |	0	0	1
              230000	 0010	 1110	 |	0	0	1
              235000	 0010	 1111	 |	0	0	1
